product,use by
"Tata Sampann Unpolished Toor Dal/ Arhar Dal, 1kg",11/9/2023
"Daawat Rozana Super,5kg",12/16/2024
"Kissan Mixed Fruit Jam , With Real Fruit Ingredients, 200 g",11/30/2023
"Sundrop Peanut Butter, Crunchy, 924g",7/31/2022
"Kellogg's Muesli 21% Fruit, Nut & Seeds 750g | 5 Grains, High in Vitamins B1, B2, B3, B6, Folate, Source of Protein and Fibre, Multigrain Breakfast Cereal",9/8/2023
"Kellogg's Corn Flakes Original 1.2kg | Power of 5: Energy, Protein, Iron, Calcium, Vitamins B1, B2, B3 & C| Corn Flakes, Breakfast Cereal | Naturally Cholestrol Free",9/21/2023
"Kellogg's Chocos Fills 250g | Double Chocolaty, Anytime Snack | 3 Grains: Oats, Wheat & Rice, Protein & Vitamin Rich, 0% Maida | Multigrain Goodness",7/27/2023
"Kellogg's Crunchy Granola Almonds and Cranberries | Breakfast Cereals | Multigrain Flakes, 460g",5/25/2023
"Kellogg's Corn Flakes Real Almond Honey 1kg | High in Iron, Vitamin B1, B2, B3, B6 & C | Naturally Cholesterol Free | Corn Flakes, Breakfast Cereal",9/11/2023
"Kellogg's Corn Flakes Original 475g | Power of 5: Energy, Protein, Iron, Calcium, Vitamins B1, B2, B3 & C | Corn Flakes, Breakfast Cereal | Naturally Cholestrol Free",6/29/2023
"Kellogg’s Froot Loops 285g, Mixed Fruit Flavor | Power of 5: Energy, Protein, Iron, Calcium, Vitamins B1, B2, B3 & C | Crunchy Multigrain Breakfast Cereal for Kids",8/27/2023
"Yakult Probiotic Health Drink Bottle, 5 X 65 ml",2/14/2023
Amul Masti Spiced Butter Milk Tetra Pack 1L,6/3/2023
"Cavin's Chocolate Milkshake, Enriched with Zinc, Vitamin A & D for Immunity Support, No Added Preservatives,200ml",9/2/2023
"Cavin's Strawberry Milkshake, Enriched with Zinc, Vitamin A & D for Immunity Support, No Added Preservatives,200ml",7/19/2023
"Cavin's Vanilla Milkshake, Enriched with Zinc, Vitamin A & D for Immunity Support, No Added Preservatives,200ml",8/30/2023
"Cavin's Kaju Butterscotch Milkshake, Enriched with Zinc, Vitamin A & D for Immunity Support, No Added Preservatives,200ml",9/1/2023
"Amul Kool Badam Flavored Milk 180 ml ,Pet Bottle",5/7/2023
"Britannia Good Day Cashew Cookies, 600 g",6/5/2023
Cadbury Oreo Vanilla Flavour Cookie Sandwich Cream Biscuit 500g Jumbo Pack,7/4/2023
"Parle G Classic, 800g",3/16/2023
Cadbury Oreo Chocolate flavour Cookie Sandwich Cream Biscuit 500g Jumbo pack,5/29/2023
"Dark Fantasy Sandwich Sunfeast Dark Fantasy Choco Creme Dark Crunch with Smooth Creme Pouch, 300 g",6/10/2023
"Parle Krackjack, 400g",5/11/2023
Sunfeast Dark Fantasy Vanilla Creme 100g Pack | Dark crunch with Smooth crème,6/15/2023
"Kwality Wall's Party Pack, Butterscotch, 700ml",4/7/2023
"Kwality Wall's Shameless Vanilla Tub, 700 ml",10/26/2023
Kwality Wall's Magnum Almond Ice Cream 80ml,9/21/2023
"Kwality Wall's Crème Delights Mango Tub, 700 ml",3/1/2023
"Kwality Wall's Party Pack, Chocolate, 700ml",4/11/2023
"Kwality Wall's Fruit & Nut, 700 ml",2/25/2023
"Kwality Wall's Cadbury Crackle Tub, 700ml",3/11/2023
"Lay's Potato Chips 50g, American Style Cream & Onion Flavour, Crunchy Chips & Snacks",5/3/2023
"Bingo! Original Style Chilli Sprinkled, Potato Chips, 90g/100g (weight may vary)",5/29/2023
"Bingo! Mad Angles – Achaari Masti, 130g Pack",5/11/2023
"Lay's Maxx Potato Chips , Sizzling Barbecue Flavor, Crunch Crispy Chips & Snacks , 56g / 59.4g (Weight May Vary)",5/29/2023
"Doritos Nacho Chips , Nacho Cheese Flavor, Crunchy Crispy Chips & Snacks, Big Pack , 82.5/100g/110g (Weight May Vary)",6/13/2023
"Lay's Potato Chips 157g, American Style Cream & Onion Flavour, Crunchy Chips & Snacks, Party Pack",6/29/2023
"Parle Monaco Classic, 700g/800g (Weight May Vary)",3/13/2023
